post_id,post_title,_search_title,post_status,post_tags,post_category,default_category,featured,featured_image,submit_ip,overall_rating,rating_count,street,street2,city,region,country,zip,latitude,longitude,mapview,mapzoom,siren,raison_sociale,statut_juridique,sdsei,pole_territorial,utd,nb_adherents,capital_social,post_dummy,phone,email,website,facebook
6100,ASS POUR UN DEPARTEMENT PAYS BASQUE,ass pour un departement pays basque,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.16029168461082,-1.1464558974715373,,,450268222,ASS POUR UN DEPARTEMENT PAYS BASQUE,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6101,EUSKALUG,euskalug,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.472483006953695,-1.611898685326434,,,477984256,EUSKALUG,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6102,TXIMELETA,tximeleta,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.21811584990224,-1.4104748926457025,,,509491668,TXIMELETA,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6103,MUZIKAZ BLAI,muzikaz blai,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.1847904564802,-1.3466138324116717,,,518048558,MUZIKAZ BLAI,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6104,LES JARDINS DE LARRALDEA,les jardins de larraldea,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.1878812246923,-1.1926213667856627,,,789434339,LES JARDINS DE LARRALDEA,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6105,LES AMIS DE BACOUCAR,les amis de bacoucar,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.31847845614771,-1.2463916916146986,,,803246867,LES AMIS DE BACOUCAR,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6106,ASS JARRAIKI,ass jarraiki,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.10552341690208,-1.1220904597695962,,,803252295,ASS JARRAIKI,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6107,PIK'OFIL,pikofil,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.08928855114285,-1.1101519097305732,,,803384684,PIK'OFIL,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6108,NERCH'EVENT,nerchevent,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.45197113961497,-1.6271309319637575,,,803749175,NERCH'EVENT,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6109,COMITE DES FETES D'AHETZE,comite des fetes dahetze,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.36042018176585,-1.7461666493896386,,,804290955,COMITE DES FETES D'AHETZE,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6110,ANCIENS COMBATTANTS D'AHETZE,anciens combattants dahetze,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.291041883263524,-1.187082299610557,,,808856314,ANCIENS COMBATTANTS D'AHETZE,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6111,POUCE-POUSSE,pouce pousse,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.38950644266671,-1.3337210623840128,,,810941054,POUCE-POUSSE,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
