ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,siren,raison_sociale,statut_juridique,code_postal,ville,sdsei,pole_territorial,utd,nb_adherents,capital_social,post_images
,SUGARAI,,publish,,gd_place,2025-07-15 13:35:20,2025-07-15 13:35:20,,,,0,,,AHAXE-ALCIETTE-BASCASSAN,,France,64220,43.18727005942368,-1.1335419377631637,811076181,SUGARAI,COOPERATIVES,64220,AHAXE-ALCIETTE-BASCASSAN,,,,,,
,APEL EC PUB MENDIVE LECUMBERRY AHAXE ...,,publish,,gd_place,2025-07-15 13:35:20,2025-07-15 13:35:20,,,,0,,,AHAXE-ALCIETTE-BASCASSAN,,France,64220,43.47535715320496,-1.683532404563358,379120355,APEL EC PUB MENDIVE LECUMBERRY AHAXE ...,ASSOCIATIONS,64220,AHAXE-ALCIETTE-BASCASSAN,,,,,,
,TRUITE DU PAYS BASQUE,,publish,,gd_place,2025-07-15 13:35:20,2025-07-15 13:35:20,,,,0,,,AHAXE-ALCIETTE-BASCASSAN,,France,64220,43.365996970905705,-0.9240721182704046,403257710,TRUITE DU PAYS BASQUE,ASSOCIATIONS,64220,AHAXE-ALCIETTE-BASCASSAN,,,,,,
,ASS  COMITE DES FETES,,publish,,gd_place,2025-07-15 13:35:20,2025-07-15 13:35:20,,,,0,,,AHAXE-ALCIETTE-BASCASSAN,,France,64220,43.299329242098516,-1.0340458873596625,425187168,ASS  COMITE DES FETES,ASSOCIATIONS,64220,AHAXE-ALCIETTE-BASCASSAN,,,,,,
,AHATSARRAK,,publish,,gd_place,2025-07-15 13:35:20,2025-07-15 13:35:20,,,,0,,,AHAXE-ALCIETTE-BASCASSAN,,France,64220,43.07800932022122,-1.5301287114573792,499601045,AHATSARRAK,ASSOCIATIONS,64220,AHAXE-ALCIETTE-BASCASSAN,,,,,,
,GROUPEMENT PASTORAL DE L'ESTIVE D'ARROSKOA,,publish,,gd_place,2025-07-15 13:35:21,2025-07-15 13:35:21,,,,0,,,AHAXE-ALCIETTE-BASCASSAN,,France,64220,43.077997260168104,-1.5545400262343194,534466305,GROUPEMENT PASTORAL DE L'ESTIVE D'ARROSKOA,ASSOCIATIONS,64220,AHAXE-ALCIETTE-BASCASSAN,,,,,,
,ASSO LAUAK-BAT DES PARENTS D'ELEVES DES ECOLES PUBLIQUES DE MENDIVE-AHAXE,,publish,,gd_place,2025-07-15 13:35:21,2025-07-15 13:35:21,,,,0,,,AHAXE-ALCIETTE-BASCASSAN,,France,64220,43.0290418060841,-1.553276392117253,818992471,ASSO LAUAK-BAT DES PARENTS D'ELEVES DES ECOLES PUBLIQUES DE MENDIVE-AHAXE,ASSOCIATIONS,64220,AHAXE-ALCIETTE-BASCASSAN,,,,,,
,CUMA  AHAL DENA,,publish,,gd_place,2025-07-15 13:35:21,2025-07-15 13:35:21,,,,0,,,AHETZE,,France,64210,43.433088072887465,-1.4566062056323699,328275441,CUMA  AHAL DENA,COOPERATIVES,64210,AHETZE,,,,,,
,EUZKADI CLUB RENCONTRE,,publish,,gd_place,2025-07-15 13:35:21,2025-07-15 13:35:21,,,,0,,,AHETZE,,France,64210,43.3005575058716,-1.2801948546942097,379551427,EUZKADI CLUB RENCONTRE,ASSOCIATIONS,64210,AHETZE,,,,,,
